time,dr_imu_x,dr_imu_y,dr_imu_theta
1747685907.584586,[3.00000001],[-0.78027269],[1.57079533]
1747685907.7569244,[3.00000001],[-0.7802727],[1.57079562]
1747685907.9678955,[3.00000001],[-0.7802727],[1.57079563]
1747685908.152168,[3.00000001],[-0.78027269],[1.57079534]
1747685908.3597765,[3.00000001],[-0.78027269],[1.57079546]
1747685908.5665157,[3.00000001],[-0.78027269],[1.57079548]
1747685908.7574685,[3.00000001],[-0.78027269],[1.57079549]
1747685908.9588435,[3.00000001],[-0.7802727],[1.57079549]
1747685909.1581275,[3.00000001],[-0.7802727],[1.57079564]
1747685909.355688,[3.00000001],[-0.7802727],[1.57079549]
1747685909.5576282,[3.00000001],[-0.7802727],[1.57079549]
1747685909.7492208,[3.00000001],[-0.78027269],[1.57079548]
1747685909.954691,[3.00000001],[-0.7802727],[1.57079552]
1747685910.155082,[3.00000001],[-0.7802727],[1.5707955]
1747685910.3607545,[3.00000001],[-0.78027269],[1.57079548]
1747685910.5548384,[3.00000001],[-0.7802727],[1.57079553]
1747685910.7515974,[3.00000001],[-0.78027269],[1.57079551]
1747685910.9486837,[3.00000001],[-0.7802727],[1.57079551]
1747685911.1604152,[3.00000001],[-0.78027269],[1.57079566]
1747685911.3573174,[3.00000001],[-0.78027269],[1.57079537]
1747685911.5635328,[3.00000001],[-0.78027269],[1.57079539]
1747685911.7574704,[3.00000001],[-0.7802727],[1.57079554]
1747685911.9609337,[3.00000001],[-0.78027269],[1.57079567]
1747685912.1505036,[3.00000001],[-0.7802727],[1.5707954]
1747685912.3601258,[3.00000001],[-0.7802727],[1.57079567]
1747685912.559572,[3.00000001],[-0.78027269],[1.57079554]
1747685912.7559206,[3.00000001],[-0.7802727],[1.57079569]
1747685912.9522939,[3.00000001],[-0.7802727],[1.57079541]
1747685913.1629372,[3.00000001],[-0.7802727],[1.57079555]
1747685913.351639,[3.00000001],[-0.7802727],[1.57079553]
1747685913.5656374,[3.00000001],[-0.78027269],[1.57079553]
1747685913.7591848,[3.00000001],[-0.78027269],[1.57079556]
1747685913.95996,[3.00000001],[-0.7802727],[1.57079554]
1747685914.1574323,[3.00000001],[-0.78027269],[1.5707954]
1747685914.3617039,[3.00000001],[-0.78027269],[1.57079542]
1747685914.5630944,[3.00000001],[-0.78027269],[1.57079554]
1747685914.767046,[3.00000001],[-0.7802727],[1.57079572]
1747685914.9603503,[3.00000001],[-0.7802727],[1.5707957]
1747685915.1567082,[3.00000001],[-0.78027269],[1.57079555]
1747685915.3616397,[3.00000001],[-0.7802727],[1.57079555]
1747685915.5524588,[3.00000001],[-0.78027269],[1.57079554]
1747685915.765682,[3.00000001],[-0.7802727],[1.57079558]
1747685915.9586792,[3.00000001],[-0.7802727],[1.57079571]
1747685916.1596951,[3.00000001],[-0.78027269],[1.57079556]
1747685916.371212,[3.00000001],[-0.7802727],[1.57079569]
1747685916.5535696,[3.00000001],[-0.78027269],[1.57079557]
1747685916.7624547,[3.00000001],[-0.78027269],[1.57079555]
1747685916.9512923,[3.00000001],[-0.78027269],[1.57079559]
1747685917.1558468,[3.00000001],[-0.7802727],[1.57079557]
1747685917.3589776,[3.00000001],[-0.7802727],[1.57079543]
1747685917.5597684,[3.00000001],[-0.78027269],[1.57079544]
1747685917.750797,[3.00000001],[-0.78027269],[1.5707956]
1747685917.9549387,[3.00000001],[-0.7802727],[1.57079573]
1747685918.1545095,[3.00000001],[-0.78027269],[1.57079559]
1747685918.3526123,[3.00000001],[-0.7802727],[1.57079573]
1747685918.5715625,[3.00000001],[-0.78027269],[1.57079561]
1747685918.750502,[3.00000001],[-0.7802727],[1.57079573]
1747685918.9578874,[3.00000001],[-0.7802727],[1.57079559]
1747685919.1534584,[3.00000001],[-0.7802727],[1.57079574]
1747685919.3569744,[3.00000001],[-0.7802727],[1.57079575]
1747685919.569559,[3.00000001],[-0.78027269],[1.57079547]
1747685919.750866,[3.00000001],[-0.7802727],[1.57079577]
1747685919.9718974,[3.00000001],[-0.78027269],[1.57079546]
1747685920.163564,[3.00000001],[-0.78027269],[1.5707956]
1747685920.3684828,[3.00000001],[-0.7802727],[1.57079563]
1747685920.5548458,[3.00000001],[-0.7802727],[1.57079576]
1747685920.7548823,[3.00000001],[-0.7802727],[1.57079561]
1747685920.957074,[3.00000001],[-0.78027269],[1.57079547]
1747685921.171085,[3.00000001],[-0.7802727],[1.57079576]
1747685921.3576717,[3.00000001],[-0.7802727],[1.57079562]
1747685921.5553198,[3.00000001],[-0.7802727],[1.57079577]
1747685921.7637737,[3.00000001],[-0.7802727],[1.57079549]
1747685921.9618866,[3.00000001],[-0.7802727],[1.57079563]
1747685922.1505284,[3.00000001],[-0.7802727],[1.57079562]
1747685922.3567932,[3.00000001],[-0.78027269],[1.57079561]
1747685922.5529573,[3.00000001],[-0.7802727],[1.57079563]
1747685922.7513473,[3.00000001],[-0.7802727],[1.57079563]
1747685922.9502082,[3.00000001],[-0.7802727],[1.57079563]
1747685923.1609917,[3.00000001],[-0.78027269],[1.57079549]
1747685923.34942,[3.00000001],[-0.7802727],[1.57079566]
1747685923.5762105,[3.00000001],[-0.7802727],[1.57079564]
1747685923.751469,[3.00000001],[-0.7802727],[1.5707955]
1747685923.9576707,[3.00000001],[-0.78027269],[1.57079552]
1747685924.1533675,[3.00000001],[-0.7802727],[1.57079581]
1747685924.4388394,[3.00000001],[-0.7802727],[1.5707958]
1747685924.5633042,[3.00000001],[-0.78027269],[1.57079565]
1747685924.7607164,[3.00000001],[-0.7802727],[1.57079551]
1747685924.9610415,[3.00000001],[-0.7802727],[1.57079566]
1747685925.1604538,[3.00000001],[-0.78027269],[1.57079581]
1747685925.3562253,[3.00000001],[-0.7802727],[1.57079566]
1747685925.557251,[3.00000001],[-0.78027269],[1.57079564]
1747685925.7532847,[3.00000001],[-0.7802727],[1.57079583]
1747685925.9688828,[3.00000001],[-0.7802727],[1.57079554]
1747685926.1586542,[3.00000001],[-0.7802727],[1.57079567]
1747685926.3722646,[3.00000001],[-0.78027269],[1.57079565]
1747685926.5609207,[3.00000001],[-0.78027269],[1.57079567]
1747685926.756268,[3.00000001],[-0.7802727],[1.57079584]
1747685926.9584808,[3.00000001],[-0.7802727],[1.57079583]
1747685927.1583707,[3.00000001],[-0.7802727],[1.57079555]
1747685927.3605826,[3.00000001],[-0.7802727],[1.57079568]
1747685927.5607932,[3.00000001],[-0.7802727],[1.57079583]
1747685927.7566082,[3.00000001],[-0.7802727],[1.57079583]
1747685927.9659185,[3.00000001],[-0.7802727],[1.57079569]
1747685928.1546052,[3.00000002],[-0.78027078],[1.55325349]
1747685928.3518112,[3.00000006],[-0.78026954],[1.5333413]
1747685928.5615246,[3.00000012],[-0.78026822],[1.51315213]
1747685928.7487066,[3.00000018],[-0.78026726],[1.50350718]
1747685928.970821,[3.00000027],[-0.78026626],[1.47332472]
1747685929.168654,[3.00000036],[-0.78026541],[1.45348164]
1747685929.3696637,[3.00000047],[-0.7802646],[1.44347681]
1747685929.5580733,[3.00000056],[-0.78026395],[1.41341217]
1747685929.7638133,[3.00000067],[-0.78026332],[1.3935293]
1747685929.9615684,[3.00000077],[-0.78026278],[1.37352468]
1747685930.15569,[3.00000088],[-0.78026226],[1.35366164]
1747685930.364995,[3.000001],[-0.78026176],[1.34343561]
1747685930.5600233,[3.00000101],[-0.78026169],[1.3305189]
1747685930.757026,[3.00000101],[-0.78026169],[1.33051721]
1747685930.9575043,[3.00000102],[-0.78026168],[1.33051711]
1747685931.1569812,[3.00000101],[-0.78026169],[1.3305169]
1747685931.3520474,[3.00000102],[-0.78026168],[1.33051684]
1747685931.5601323,[3.00000102],[-0.78026168],[1.33051667]
1747685931.7508514,[3.00000102],[-0.78026168],[1.33051654]
1747685931.9599857,[3.00000101],[-0.78026169],[1.33051645]
1747685932.1678412,[3.00000102],[-0.78026168],[1.33051631]
1747685932.3589177,[3.00000101],[-0.78026169],[1.33051614]
1747685932.5536366,[3.00000102],[-0.78026168],[1.33051608]
1747685932.7671475,[3.00000101],[-0.78026169],[1.33051584]
1747685932.960782,[3.00000102],[-0.78026168],[1.33051581]
1747685933.171791,[3.00000101],[-0.78026169],[1.33051562]
1747685933.3561244,[3.00000102],[-0.78026168],[1.33051555]
1747685933.5551755,[3.00000102],[-0.78026168],[1.33051539]
1747685933.7581255,[3.00000102],[-0.78026168],[1.33051523]
1747685933.9677193,[3.00000102],[-0.78026168],[1.33051509]
1747685934.1507728,[3.00000102],[-0.78026168],[1.330515]
1747685934.3602898,[3.00000102],[-0.78026168],[1.3305149]
1747685934.563868,[3.00000102],[-0.78026168],[1.33051474]
1747685934.7569878,[3.00000101],[-0.78026169],[1.3305146]
1747685934.955422,[3.00000101],[-0.78026169],[1.3305145]
1747685935.1640997,[3.00000101],[-0.78026169],[1.33051435]
1747685935.3629694,[3.00000101],[-0.78026169],[1.33051414]
1747685935.5559573,[3.00000102],[-0.78026168],[1.3305141]
1747685935.7642908,[3.00000101],[-0.78026169],[1.33051388]
1747685935.9582937,[3.00000102],[-0.78026168],[1.33051379]
1747685936.1698015,[3.00000101],[-0.78026169],[1.33051365]
1747685936.359684,[3.00000101],[-0.78026169],[1.33051351]
1747685936.5658216,[3.00000101],[-0.78026169],[1.33051336]
1747685936.7601762,[3.00000102],[-0.78026168],[1.33051336]
1747685936.9534717,[3.00000102],[-0.78026168],[1.33051312]
1747685937.157468,[3.00000102],[-0.78026168],[1.33051303]
1747685937.3636355,[3.00262443],[-0.76958348],[1.32962967]
1747685937.5523345,[3.00716262],[-0.75113892],[1.32959092]
1747685937.758546,[3.01212439],[-0.73096874],[1.32959058]
1747685937.9601266,[3.01690042],[-0.71155358],[1.32959123]
1747685938.1591444,[3.02167647],[-0.69213823],[1.32959237]
1747685938.3613968,[3.02693016],[-0.6707811],[1.32959405]
1747685938.557277,[3.0314674],[-0.65233631],[1.32959577]
1747685938.770048,[3.03624352],[-0.63292033],[1.3295961]
1747685938.9735477,[3.04101967],[-0.61350422],[1.3295962]
1747685939.170671,[3.04579582],[-0.59408811],[1.32959628]
1747685939.3697195,[3.05057187],[-0.57467245],[1.32959514]
1747685939.5721717,[3.05534792],[-0.55525688],[1.32959393]
1747685939.7582922,[3.0598852],[-0.53681208],[1.3295933]
1747685939.9581747,[3.06466117],[-0.51739693],[1.32959325]
1747685940.159471,[3.06943715],[-0.49798175],[1.32959405]
1747685940.3594716,[3.07421315],[-0.47856638],[1.32959532]
1747685940.6557271,[3.07922797],[-0.45818001],[1.32959704]
1747685940.759836,[3.08400396],[-0.43876442],[1.32959874]
1747685940.9589741,[3.08878002],[-0.41934843],[1.32959905]
1747685941.1727378,[3.09355612],[-0.3999323],[1.32959915]
1747685941.3675702,[3.0980934],[-0.38148698],[1.32959918]
1747685941.5654852,[3.10269483],[-0.36203029],[1.34930336]
1747685941.7636092,[3.10690113],[-0.34248433],[1.36930463]
1747685941.980989,[3.11107512],[-0.32089145],[1.3892934]
1747685942.1574214,[3.11414493],[-0.3031608],[1.41040052]
1747685942.3545763,[3.1172718],[-0.28240167],[1.43218825]
1747685942.5649803,[3.11971782],[-0.26356505],[1.4523149]
1747685942.7542093,[3.1218879],[-0.24368869],[1.47242742]
1747685942.9698284,[3.12367466],[-0.22377417],[1.49228298]
1747685943.1739185,[3.12496584],[-0.2028207],[1.50883513]
1747685943.3597212,[3.12542523],[-0.183834],[1.56805437]
1747685943.5576084,[3.12509393],[-0.16384485],[1.58818485]
1747685943.7677176,[3.12401242],[-0.14388237],[1.6478539]
1747685943.961072,[3.12196572],[-0.12299066],[1.68810466]
1747685944.1597812,[3.11936802],[-0.10417644],[1.72809104]
1747685944.3722892,[3.11567237],[-0.08351204],[1.77381008]
1747685944.5660439,[3.11109343],[-0.06405198],[1.80101454]
1747685944.7586534,[3.10576787],[-0.04582204],[1.88415199]
1747685944.961473,[3.09912331],[-0.02696526],[1.94258291]
1747685945.1535418,[3.09134594],[-0.0085477],[2.00573402]
1747685945.3753963,[3.0813717],[0.01105127],[2.07179955]
1747685945.6027644,[3.07220289],[0.0265335],[2.13750151]
1747685945.7852056,[3.0672567],[0.0494977],[2.2044395]
1747685945.9666755,[3.05551814],[0.06442941],[2.26549763]
1747685946.1718965,[3.04225893],[0.07939329],[2.32550548]
1747685946.380519,[3.02810625],[0.0935151],[2.38587366]
1747685946.563017,[3.01399153],[0.10621641],[2.41783292]
1747685946.7581544,[2.99900864],[0.11945835],[2.41781475]
1747685946.974442,[2.98327656],[0.13336198],[2.41781373]
1747685947.1707265,[2.96904276],[0.14594148],[2.41781314]
1747685947.3662558,[2.95405982],[0.15918307],[2.41781249]
1747685947.5738554,[2.93907689],[0.17242467],[2.41781187]
1747685947.7753987,[2.92409407],[0.18566617],[2.41781199]
1747685947.9868388,[2.90761287],[0.2002319],[2.41781255]
1747685948.2727113,[2.89412824],[0.21214932],[2.41781314]
1747685948.380154,[2.87839614],[0.22605297],[2.4178137]
1747685948.562366,[2.86415567],[0.23862534],[2.41781397]
1747685948.770718,[2.84820997],[0.25228319],[2.44302819]
1747685948.9612978,[2.83354923],[0.26436195],[2.4523528]
1747685949.1778448,[2.81788681],[0.27679127],[2.4818222]
1747685949.3784258,[2.80115423],[0.28947121],[2.50937001]
1747685949.5653856,[2.78563503],[0.30042261],[2.52925073]
1747685949.777301,[2.76799402],[0.31180328],[2.58896204]
1747685949.9638462,[2.75077656],[0.32196814],[2.62721969]
1747685950.1640115,[2.73407313],[0.33101853],[2.6648475]
1747685950.363461,[2.71613441],[0.33984964],[2.71059729]
1747685950.5753691,[2.69775182],[0.34771037],[2.77031842]
1747685950.7729886,[2.67797271],[0.35473811],[2.83192895]
1747685950.9662466,[2.65971781],[0.35997654],[2.89743191]
1747685951.179017,[2.63919165],[0.36436886],[2.96393007]
